00:21:59 : CPU 37.5%, MEM 21.3%
00:22:00 : CPU 40.0%, MEM 21.3%
00:22:01 : CPU 40.0%, MEM 21.3%
00:22:02 : CPU 46.7%, MEM 21.3%
00:22:03 : CPU 40.0%, MEM 21.3%
00:22:05 : CPU 43.8%, MEM 21.3%
00:22:06 : CPU 43.8%, MEM 21.3%
00:22:07 : CPU 37.5%, MEM 21.3%
00:22:08 : CPU 37.5%, MEM 21.3%
00:22:09 : CPU 25.0%, MEM 21.3%
00:22:10 : CPU 37.5%, MEM 21.3%
00:22:12 : CPU 40.0%, MEM 21.3%
00:22:13 : CPU 40.0%, MEM 21.3%
00:22:14 : CPU 40.0%, MEM 21.3%
00:22:15 : CPU 40.0%, MEM 21.3%
00:22:16 : CPU 46.7%, MEM 21.3%
00:22:17 : CPU 40.0%, MEM 21.3%
00:22:19 : CPU 33.3%, MEM 21.3%
00:22:20 : CPU 33.3%, MEM 21.3%
00:22:21 : CPU 40.0%, MEM 21.3%
00:22:22 : CPU 40.0%, MEM 21.3%
00:22:23 : CPU 40.0%, MEM 21.3%
00:22:24 : CPU 37.5%, MEM 21.3%
00:22:26 : CPU 43.8%, MEM 21.3%
00:22:27 : CPU 43.8%, MEM 21.3%
00:22:28 : CPU 37.5%, MEM 21.3%
00:22:29 : CPU 40.0%, MEM 21.3%
00:22:30 : CPU 40.0%, MEM 21.3%
00:22:31 : CPU 40.0%, MEM 21.3%
00:22:32 : CPU 40.0%, MEM 21.3%
00:22:34 : CPU 40.0%, MEM 21.3%
00:22:35 : CPU 40.0%, MEM 21.3%
00:22:36 : CPU 46.7%, MEM 21.3%
00:22:37 : CPU 40.0%, MEM 21.3%
00:22:38 : CPU 40.0%, MEM 21.3%
00:22:39 : CPU 40.0%, MEM 21.3%
00:22:41 : CPU 40.0%, MEM 21.3%
00:22:42 : CPU 53.3%, MEM 21.3%
00:22:43 : CPU 31.2%, MEM 21.3%
00:22:44 : CPU 37.5%, MEM 21.3%
00:22:45 : CPU 37.5%, MEM 21.3%
00:22:46 : CPU 40.0%, MEM 21.3%
00:22:48 : CPU 40.0%, MEM 21.3%
00:22:49 : CPU 33.3%, MEM 21.3%
00:22:50 : CPU 40.0%, MEM 21.3%
00:22:51 : CPU 40.0%, MEM 21.3%
00:22:52 : CPU 33.3%, MEM 21.3%
00:22:53 : CPU 40.0%, MEM 21.3%
00:22:55 : CPU 33.3%, MEM 21.3%
00:22:56 : CPU 37.5%, MEM 21.3%
00:22:57 : CPU 37.5%, MEM 21.3%
00:22:58 : CPU 43.8%, MEM 21.3%
00:22:59 : CPU 43.8%, MEM 21.3%
00:23:00 : CPU 31.2%, MEM 21.3%
00:23:01 : CPU 40.0%, MEM 21.3%
00:23:03 : CPU 46.7%, MEM 21.3%
00:23:04 : CPU 46.7%, MEM 21.3%
00:23:05 : CPU 40.0%, MEM 21.3%
00:23:06 : CPU 46.7%, MEM 21.3%
00:23:07 : CPU 40.0%, MEM 21.3%
00:23:08 : CPU 40.0%, MEM 21.3%
00:23:10 : CPU 46.7%, MEM 21.3%
00:23:11 : CPU 46.7%, MEM 21.3%
00:23:12 : CPU 46.7%, MEM 21.3%
00:23:13 : CPU 40.0%, MEM 21.3%
00:23:14 : CPU 40.0%, MEM 21.3%
00:23:15 : CPU 43.8%, MEM 21.3%
00:23:17 : CPU 31.2%, MEM 21.3%
00:23:18 : CPU 40.0%, MEM 21.3%
00:23:19 : CPU 33.3%, MEM 21.3%
00:23:20 : CPU 33.3%, MEM 21.3%
00:23:21 : CPU 40.0%, MEM 21.3%
00:23:22 : CPU 46.7%, MEM 21.3%
00:23:24 : CPU 40.0%, MEM 21.3%
00:23:25 : CPU 40.0%, MEM 21.3%
00:23:26 : CPU 46.7%, MEM 21.3%
00:23:27 : CPU 40.0%, MEM 21.3%
00:23:28 : CPU 50.0%, MEM 21.3%
00:23:29 : CPU 37.5%, MEM 21.3%
00:23:31 : CPU 37.5%, MEM 21.3%
00:23:32 : CPU 31.2%, MEM 21.3%
00:23:33 : CPU 37.5%, MEM 21.3%
00:23:34 : CPU 33.3%, MEM 21.3%
00:23:35 : CPU 40.0%, MEM 21.3%
00:23:36 : CPU 33.3%, MEM 21.3%
00:23:37 : CPU 33.3%, MEM 21.3%
00:23:39 : CPU 46.7%, MEM 21.3%
00:23:40 : CPU 33.3%, MEM 21.3%
00:23:41 : CPU 33.3%, MEM 21.3%
00:23:42 : CPU 40.0%, MEM 21.3%
00:23:43 : CPU 43.8%, MEM 21.3%
00:23:44 : CPU 31.2%, MEM 21.3%
00:23:46 : CPU 43.8%, MEM 21.3%
00:23:47 : CPU 46.7%, MEM 21.3%
00:23:48 : CPU 46.7%, MEM 21.3%
00:23:49 : CPU 40.0%, MEM 21.3%
00:23:50 : CPU 40.0%, MEM 21.3%
00:23:51 : CPU 33.3%, MEM 21.3%
00:23:53 : CPU 40.0%, MEM 21.3%
00:23:54 : CPU 46.7%, MEM 21.3%
00:23:55 : CPU 40.0%, MEM 21.3%
00:23:56 : CPU 40.0%, MEM 21.3%
00:23:57 : CPU 40.0%, MEM 21.3%
00:23:58 : CPU 40.0%, MEM 21.3%
00:24:00 : CPU 37.5%, MEM 21.3%
00:24:01 : CPU 37.5%, MEM 21.3%
00:24:02 : CPU 37.5%, MEM 21.3%
00:24:03 : CPU 31.2%, MEM 21.3%
00:24:04 : CPU 37.5%, MEM 21.3%
00:24:05 : CPU 37.5%, MEM 21.3%
00:24:06 : CPU 46.7%, MEM 21.4%
00:24:08 : CPU 33.3%, MEM 21.4%
00:24:09 : CPU 40.0%, MEM 21.4%
00:24:10 : CPU 40.0%, MEM 21.4%
00:24:11 : CPU 33.3%, MEM 21.4%
00:24:12 : CPU 40.0%, MEM 21.4%
00:24:13 : CPU 40.0%, MEM 21.4%
00:24:15 : CPU 40.0%, MEM 21.4%
00:24:16 : CPU 46.7%, MEM 21.4%
00:24:17 : CPU 46.7%, MEM 21.4%
00:24:18 : CPU 40.0%, MEM 21.4%
00:24:19 : CPU 53.3%, MEM 21.4%
00:24:20 : CPU 33.3%, MEM 21.4%
00:24:22 : CPU 37.5%, MEM 21.4%
00:24:23 : CPU 31.2%, MEM 21.4%
00:24:24 : CPU 37.5%, MEM 21.4%
00:24:25 : CPU 37.5%, MEM 21.4%
00:24:26 : CPU 37.5%, MEM 21.4%
00:24:27 : CPU 46.7%, MEM 21.4%
00:24:29 : CPU 46.7%, MEM 21.4%
00:24:30 : CPU 40.0%, MEM 21.4%
00:24:31 : CPU 33.3%, MEM 21.4%
00:24:32 : CPU 40.0%, MEM 21.4%
00:24:33 : CPU 40.0%, MEM 21.4%
00:24:34 : CPU 53.3%, MEM 21.4%
00:24:36 : CPU 40.0%, MEM 21.4%
00:24:37 : CPU 40.0%, MEM 21.4%
00:24:38 : CPU 43.8%, MEM 21.4%
00:24:39 : CPU 37.5%, MEM 21.4%
00:24:40 : CPU 37.5%, MEM 21.4%
00:24:41 : CPU 37.5%, MEM 21.4%
00:24:42 : CPU 31.2%, MEM 21.4%
00:24:44 : CPU 33.3%, MEM 21.4%
00:24:45 : CPU 33.3%, MEM 21.4%
00:24:46 : CPU 40.0%, MEM 21.4%
00:24:47 : CPU 46.7%, MEM 21.4%
00:24:48 : CPU 33.3%, MEM 21.4%
00:24:49 : CPU 46.7%, MEM 21.4%
00:24:51 : CPU 46.7%, MEM 21.4%
00:24:52 : CPU 40.0%, MEM 21.4%
00:24:53 : CPU 40.0%, MEM 21.4%
00:24:54 : CPU 37.5%, MEM 21.4%
00:24:55 : CPU 37.5%, MEM 21.4%
00:24:56 : CPU 37.5%, MEM 21.4%
00:24:58 : CPU 31.2%, MEM 21.4%
00:24:59 : CPU 40.0%, MEM 21.4%
00:25:00 : CPU 40.0%, MEM 21.4%
00:25:01 : CPU 33.3%, MEM 21.4%
00:25:02 : CPU 46.7%, MEM 21.4%
00:25:03 : CPU 33.3%, MEM 21.4%
00:25:05 : CPU 40.0%, MEM 21.4%
00:25:06 : CPU 33.3%, MEM 21.4%
00:25:07 : CPU 40.0%, MEM 21.4%
00:25:08 : CPU 40.0%, MEM 21.4%
00:25:09 : CPU 33.3%, MEM 21.4%
00:25:10 : CPU 40.0%, MEM 21.4%
00:25:11 : CPU 40.0%, MEM 21.4%
00:25:13 : CPU 43.8%, MEM 21.4%
00:25:14 : CPU 31.2%, MEM 21.4%
00:25:15 : CPU 50.0%, MEM 21.4%
00:25:16 : CPU 33.3%, MEM 21.4%
00:25:17 : CPU 33.3%, MEM 21.4%
00:25:18 : CPU 40.0%, MEM 21.4%
00:25:20 : CPU 40.0%, MEM 21.4%
00:25:21 : CPU 40.0%, MEM 21.4%
00:25:22 : CPU 40.0%, MEM 21.4%
00:25:23 : CPU 40.0%, MEM 21.4%
00:25:24 : CPU 40.0%, MEM 21.4%
00:25:25 : CPU 37.5%, MEM 21.4%
00:25:27 : CPU 40.0%, MEM 21.4%
00:25:28 : CPU 40.0%, MEM 21.4%
00:25:29 : CPU 46.7%, MEM 21.4%
00:25:30 : CPU 46.7%, MEM 21.4%
00:25:31 : CPU 40.0%, MEM 21.4%
00:25:32 : CPU 26.7%, MEM 21.4%
00:25:34 : CPU 40.0%, MEM 21.4%
00:25:35 : CPU 33.3%, MEM 21.4%
00:25:36 : CPU 33.3%, MEM 21.4%
00:25:37 : CPU 43.8%, MEM 21.4%
00:25:38 : CPU 37.5%, MEM 21.4%
00:25:39 : CPU 37.5%, MEM 21.4%
00:25:41 : CPU 46.7%, MEM 21.4%
00:25:42 : CPU 33.3%, MEM 21.4%
00:25:43 : CPU 46.7%, MEM 21.4%
00:25:44 : CPU 40.0%, MEM 21.4%
00:25:45 : CPU 40.0%, MEM 21.4%
00:25:46 : CPU 46.7%, MEM 21.4%
00:25:47 : CPU 40.0%, MEM 21.4%
00:25:49 : CPU 40.0%, MEM 21.4%
00:25:50 : CPU 40.0%, MEM 21.4%
00:25:51 : CPU 40.0%, MEM 21.4%
00:25:52 : CPU 43.8%, MEM 21.4%
00:25:53 : CPU 37.5%, MEM 21.4%
00:25:54 : CPU 37.5%, MEM 21.4%
00:25:56 : CPU 46.7%, MEM 21.4%
00:25:57 : CPU 46.7%, MEM 21.4%
00:25:58 : CPU 46.7%, MEM 21.4%
00:25:59 : CPU 40.0%, MEM 21.4%
00:26:00 : CPU 40.0%, MEM 21.4%
00:26:01 : CPU 40.0%, MEM 21.4%
00:26:03 : CPU 40.0%, MEM 21.4%
00:26:04 : CPU 33.3%, MEM 21.4%
00:26:05 : CPU 43.8%, MEM 21.4%
00:26:06 : CPU 31.2%, MEM 21.4%
00:26:07 : CPU 31.2%, MEM 21.4%
00:26:08 : CPU 37.5%, MEM 21.4%
00:26:10 : CPU 25.0%, MEM 21.4%
00:26:11 : CPU 43.8%, MEM 21.4%
00:26:12 : CPU 40.0%, MEM 21.4%
00:26:13 : CPU 40.0%, MEM 21.4%
00:26:14 : CPU 40.0%, MEM 21.4%
00:26:15 : CPU 40.0%, MEM 21.4%
00:26:17 : CPU 33.3%, MEM 21.4%
00:26:18 : CPU 46.7%, MEM 21.4%
00:26:19 : CPU 40.0%, MEM 21.4%
00:26:20 : CPU 40.0%, MEM 21.4%
00:26:21 : CPU 46.7%, MEM 21.4%
00:26:22 : CPU 40.0%, MEM 21.4%
00:26:23 : CPU 40.0%, MEM 21.4%
00:26:25 : CPU 33.3%, MEM 21.4%
00:26:26 : CPU 46.7%, MEM 21.4%
00:26:27 : CPU 40.0%, MEM 21.4%
00:26:28 : CPU 33.3%, MEM 21.4%
00:26:29 : CPU 40.0%, MEM 21.4%
00:26:30 : CPU 40.0%, MEM 21.4%
00:26:32 : CPU 33.3%, MEM 21.4%
00:26:33 : CPU 40.0%, MEM 21.4%
00:26:34 : CPU 40.0%, MEM 21.4%
00:26:35 : CPU 40.0%, MEM 21.4%
00:26:36 : CPU 46.7%, MEM 21.4%
00:26:37 : CPU 40.0%, MEM 21.4%
00:26:39 : CPU 53.3%, MEM 21.4%
00:26:40 : CPU 40.0%, MEM 21.4%
00:26:41 : CPU 43.8%, MEM 21.4%
00:26:42 : CPU 37.5%, MEM 21.4%
00:26:43 : CPU 37.5%, MEM 21.4%
00:26:44 : CPU 31.2%, MEM 21.4%
00:26:46 : CPU 37.5%, MEM 21.4%
00:26:47 : CPU 46.7%, MEM 21.4%
00:26:48 : CPU 33.3%, MEM 21.4%
00:26:49 : CPU 40.0%, MEM 21.4%
00:26:50 : CPU 40.0%, MEM 21.4%
00:26:51 : CPU 46.7%, MEM 21.4%
00:26:52 : CPU 46.7%, MEM 21.4%
00:26:54 : CPU 46.7%, MEM 21.4%
00:26:55 : CPU 40.0%, MEM 21.4%
00:26:56 : CPU 40.0%, MEM 21.4%
00:26:57 : CPU 43.8%, MEM 21.4%
00:26:58 : CPU 37.5%, MEM 21.4%
00:26:59 : CPU 43.8%, MEM 21.4%
00:27:01 : CPU 40.0%, MEM 21.4%
00:27:02 : CPU 40.0%, MEM 21.4%
